items,count,total,rnd,customer,age,city,paymentType
"yogurt,sugar,instant coffee",3,1477,11,Hanan,22,Fayoum,Credit
"root vegetables,other vegetables,white bread,sparkling wine",4,372,6,Walaa,29,Cairo,Cash
"yogurt,rolls/buns,pastry,soda",4,226,13,Sayed,37,Cairo,Credit
oil,1,2447,14,Magdy,36,Sohag,Cash
"citrus fruit,pip fruit,grapes,berries,soft cheese,rolls/buns,oil,shopping bags",8,104,4,Adel,50,Alexandria,Credit
"beef,root vegetables,whole milk,butter milk,yogurt,beverages,cream cheese ,sweet spreads,soda,chocolate",10,267,12,Eman,23,Aswan,Credit
"citrus fruit,onions,other vegetables,whole milk,cream cheese ,domestic eggs,sugar,bottled water,bottled beer,long life bakery product,seasonal products,napkins",12,1676,12,Eman,23,Aswan,Cash
"dessert,misc. beverages",2,2421,15,Sameh,35,Hurghada,Cash
"curd,jam,shopping bags",3,491,1,Farida,22,Cairo,Cash
bottled water,1,292,10,Samy,55,Alexandria,Credit
"sausage,domestic eggs,coffee,soda",4,1727,11,Hanan,22,Fayoum,Cash
herbs,1,2341,14,Magdy,36,Sohag,Cash
"dog food,soda,fruit/vegetable juice,bottled beer",4,1604,10,Samy,55,Alexandria,Credit
"packaged fruit/vegetables,whole milk,pastry,bottled water,soda,misc. beverages,chewing gum,specialty bar,hygiene articles,pot plants,shopping bags",11,781,3,Ahmed,30,Giza,Cash
"frankfurter,pork,specialty fat,specialty bar",4,1955,9,Maged,60,Hurghada,Credit
"finished products,beef,tropical fruit,spread cheese,rolls/buns,waffles,chocolate,specialty chocolate,hair spray,shopping bags",10,1516,6,Walaa,29,Cairo,Credit
oil,1,1370,7,Huda,39,Gharbia,Credit
curd,1,664,2,Mohamed,25,Alexandria,Credit
"herbs,pot plants",2,1854,9,Maged,60,Hurghada,Credit
"sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags",7,800,1,Farida,22,Cairo,Cash
"whole milk,sugar,pudding powder",3,868,11,Hanan,22,Fayoum,Credit
"sausage,waffles",2,516,2,Mohamed,25,Alexandria,Credit
soda,1,1587,2,Mohamed,25,Alexandria,Cash
"whole milk,bottled water,soda,canned beer",4,1780,12,Eman,23,Aswan,Cash
"root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags",9,2012,10,Samy,55,Alexandria,Cash
sugar,1,2042,4,Adel,50,Alexandria,Credit
"cream cheese ,dishes",2,322,5,Shimaa,55,Port Said,Cash
"other vegetables,misc. beverages,long life bakery product,chocolate,candy,shopping bags",6,664,4,Adel,50,Alexandria,Cash
"frozen fruits,detergent",2,255,9,Maged,60,Hurghada,Cash
whipped/sour cream,1,1639,8,Rania,37,Dakahlia,Credit
yogurt,1,1119,14,Magdy,36,Sohag,Cash
"pork,beef,other vegetables,yogurt,shopping bags",5,212,1,Farida,22,Cairo,Cash
"grapes,butter,domestic eggs,salt,sugar,baking powder",6,442,2,Mohamed,25,Alexandria,Cash
"whole milk,soda",2,1805,13,Sayed,37,Cairo,Cash
"sausage,ham,citrus fruit,grapes,berries,butter milk,frozen meals,domestic eggs,cat food,coffee,bottled water,soda,fruit/vegetable juice,waffles,hygiene articles",15,537,9,Maged,60,Hurghada,Credit
canned beer,1,2282,1,Farida,22,Cairo,Cash
"meat,hamburger meat,spices,coffee",4,1268,10,Samy,55,Alexandria,Credit
soda,1,2193,14,Magdy,36,Sohag,Cash
bottled beer,1,892,15,Sameh,35,Hurghada,Credit
"whole milk,yogurt",2,2169,8,Rania,37,Dakahlia,Credit
"chicken,whole milk",2,1274,12,Eman,23,Aswan,Cash
pip fruit,1,1508,7,Huda,39,Gharbia,Cash
"pork,UHT-milk,rolls/buns,margarine",4,1267,10,Samy,55,Alexandria,Credit
oil,1,1153,2,Mohamed,25,Alexandria,Cash
"whole milk,shopping bags",2,1679,9,Maged,60,Hurghada,Credit
"pip fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,chocolate",7,2016,13,Sayed,37,Cairo,Cash
"root vegetables,coffee,detergent",3,650,13,Sayed,37,Cairo,Cash
"ham,whole milk,curd,dessert",4,2241,2,Mohamed,25,Alexandria,Credit
"ice cream,soda,bottled beer,chocolate marshmallow",4,689,14,Magdy,36,Sohag,Credit
"sausage,whole milk,brown bread,soda",4,1187,4,Adel,50,Alexandria,Credit
detergent,1,953,3,Ahmed,30,Giza,Credit
"oil,female sanitary products,cling film/bags",3,934,11,Hanan,22,Fayoum,Cash
"tropical fruit,pip fruit,grapes,ice cream,frozen potato products,rolls/buns,pastry,soda,misc. beverages,salty snack,long life bakery product,chewing gum,specialty bar,napkins,photo/film",15,2489,13,Sayed,37,Cairo,Cash
photo/film,1,2025,5,Shimaa,55,Port Said,Credit
"UHT-milk,coffee",2,1604,7,Huda,39,Gharbia,Cash
"meat,bottled beer,shopping bags",3,1713,14,Magdy,36,Sohag,Credit
"grapes,root vegetables,whole milk,butter,whipped/sour cream,condensed milk,roll products ,oil,bottled water,fruit/vegetable juice",10,2378,9,Maged,60,Hurghada,Credit
"liver loaf,tropical fruit,pip fruit,grapes,whole milk,curd,whipped/sour cream,frozen vegetables,baking powder",9,1342,8,Rania,37,Dakahlia,Cash
"beef,root vegetables,other vegetables,soda,bottled beer,hygiene articles",6,652,11,Hanan,22,Fayoum,Cash
"root vegetables,whole milk,butter,domestic eggs,flour,oil,sugar,baking powder,white wine,specialty chocolate,shopping bags",11,1978,12,Eman,23,Aswan,Cash
"pork,brown bread,bottled water,fruit/vegetable juice",4,1484,6,Walaa,29,Cairo,Credit
"butter milk,shopping bags",2,187,6,Walaa,29,Cairo,Credit
"brown bread,specialty chocolate,shopping bags",3,819,13,Sayed,37,Cairo,Cash
"herbs,curd,roll products ,vinegar,canned beer,newspapers",6,2123,13,Sayed,37,Cairo,Credit
newspapers,1,390,6,Walaa,29,Cairo,Credit
brandy,1,2428,7,Huda,39,Gharbia,Cash
"pastry,sugar,bottled beer,long life bakery product,shopping bags",5,667,11,Hanan,22,Fayoum,Cash
"beverages,soda,chocolate",3,1792,2,Mohamed,25,Alexandria,Credit
UHT-milk,1,523,5,Shimaa,55,Port Said,Cash
"cream cheese ,pasta,jam,sweet spreads,coffee,soda,chocolate",7,116,6,Walaa,29,Cairo,Cash
"rolls/buns,liquor,red/blush wine",3,480,13,Sayed,37,Cairo,Cash
rolls/buns,1,2022,4,Adel,50,Alexandria,Credit
"rolls/buns,bottled water",2,2441,6,Walaa,29,Cairo,Cash
"sausage,whole milk,brown bread,pastry",4,132,1,Farida,22,Cairo,Cash
"hard cheese,rolls/buns,soda,shopping bags",4,327,15,Sameh,35,Hurghada,Cash
canned beer,1,2054,12,Eman,23,Aswan,Cash
canned beer,1,1366,2,Mohamed,25,Alexandria,Credit
"citrus fruit,tropical fruit,berries,yogurt,cream cheese ,brown bread,meat spreads",7,1738,13,Sayed,37,Cairo,Credit
yogurt,1,2201,7,Huda,39,Gharbia,Credit
"yogurt,beverages,rolls/buns,fruit/vegetable juice,pot plants",5,2150,2,Mohamed,25,Alexandria,Cash
salty snack,1,320,5,Shimaa,55,Port Said,Cash
"tropical fruit,frozen vegetables",2,197,11,Hanan,22,Fayoum,Cash
"citrus fruit,other vegetables,whole milk,butter,frozen vegetables,rolls/buns,brown bread,fruit/vegetable juice,cleaner",9,783,4,Adel,50,Alexandria,Credit
rolls/buns,1,2243,4,Adel,50,Alexandria,Credit
"whipped/sour cream,salty snack",2,1751,9,Maged,60,Hurghada,Credit
"citrus fruit,whole milk,butter milk,whipped/sour cream",4,2201,14,Magdy,36,Sohag,Cash
butter milk,1,2463,6,Walaa,29,Cairo,Cash
"other vegetables,whole milk,soups,bottled water,bottled beer",5,2165,3,Ahmed,30,Giza,Credit
canned beer,1,1287,13,Sayed,37,Cairo,Credit
"soda,fruit/vegetable juice",2,1708,6,Walaa,29,Cairo,Cash
"tropical fruit,whole milk",2,2378,4,Adel,50,Alexandria,Cash
"coffee,soda,bottled beer,liquor (appetizer),bathroom cleaner",5,755,6,Walaa,29,Cairo,Credit
"ham,other vegetables,whole milk,frozen vegetables",4,2329,3,Ahmed,30,Giza,Cash
whipped/sour cream,1,2177,12,Eman,23,Aswan,Credit
"citrus fruit,tropical fruit,whole milk,rolls/buns,bottled water,long life bakery product,decalcifier,newspapers",8,1970,1,Farida,22,Cairo,Credit
"dessert,fruit/vegetable juice,newspapers",3,1932,2,Mohamed,25,Alexandria,Cash
"whole milk,rolls/buns",2,664,1,Farida,22,Cairo,Credit
canned beer,1,599,5,Shimaa,55,Port Said,Credit
"rolls/buns,soda",2,120,12,Eman,23,Aswan,Cash
"fish,dessert,yogurt,cling film/bags",4,1787,5,Shimaa,55,Port Said,Cash
"meat,other vegetables,rolls/buns,fruit/vegetable juice,cling film/bags",5,2330,10,Samy,55,Alexandria,Cash
"sausage,rolls/buns",2,242,1,Farida,22,Cairo,Credit
"other vegetables,oil,margarine,dishes",4,305,7,Huda,39,Gharbia,Cash
"tropical fruit,other vegetables,waffles,napkins",4,1503,14,Magdy,36,Sohag,Cash
baby cosmetics,1,2190,14,Magdy,36,Sohag,Cash
"citrus fruit,coffee",2,2006,1,Farida,22,Cairo,Cash
"tropical fruit,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,rolls/buns,margarine,bottled water",9,1726,4,Adel,50,Alexandria,Cash
spices,1,1249,14,Magdy,36,Sohag,Cash
"sausage,hamburger meat,citrus fruit,root vegetables,whole milk,yogurt,rolls/buns",7,2002,8,Rania,37,Dakahlia,Cash
"sausage,condensed milk,rolls/buns,coffee",4,869,7,Huda,39,Gharbia,Cash
"beef,other vegetables,margarine,candles",4,1926,9,Maged,60,Hurghada,Credit
"canned beer,salty snack,shopping bags",3,2339,6,Walaa,29,Cairo,Cash
canned beer,1,1688,9,Maged,60,Hurghada,Cash
"rolls/buns,soda,waffles,shopping bags",4,1043,7,Huda,39,Gharbia,Cash
"whole milk,beverages,bottled water,newspapers",4,293,15,Sameh,35,Hurghada,Credit
"root vegetables,brown bread,pot plants",3,967,13,Sayed,37,Cairo,Credit
yogurt,1,1592,2,Mohamed,25,Alexandria,Credit
"onions,shopping bags",2,1966,2,Mohamed,25,Alexandria,Cash
"hamburger meat,citrus fruit,tropical fruit,rolls/buns,rice,coffee",6,1838,14,Magdy,36,Sohag,Credit
"napkins,dishes",2,305,14,Magdy,36,Sohag,Cash
"other vegetables,butter milk,UHT-milk,brown bread,bottled water",5,349,2,Mohamed,25,Alexandria,Cash
"chicken,other vegetables,whole milk,curd,UHT-milk,rolls/buns,newspapers",7,485,2,Mohamed,25,Alexandria,Credit
"meat,whole milk,frozen potato products,margarine,soda,detergent",6,132,4,Adel,50,Alexandria,Cash
rolls/buns,1,753,13,Sayed,37,Cairo,Cash
"butter,yogurt,rolls/buns,jam,soda",5,1809,7,Huda,39,Gharbia,Credit
"sausage,fish,other vegetables,brown bread,shopping bags",5,1203,12,Eman,23,Aswan,Credit
rolls/buns,1,2186,1,Farida,22,Cairo,Cash
"other vegetables,rolls/buns",2,2424,5,Shimaa,55,Port Said,Credit
"frankfurter,whole milk",2,1038,11,Hanan,22,Fayoum,Cash
newspapers,1,2267,13,Sayed,37,Cairo,Cash
"turkey,citrus fruit,tropical fruit,grapes,root vegetables,onions,other vegetables,rolls/buns,brown bread,pastry,pickled vegetables,jam,cat food,fruit/vegetable juice,napkins",15,2001,8,Rania,37,Dakahlia,Cash
"onions,butter,roll products ,oil,napkins,newspapers",6,188,1,Farida,22,Cairo,Cash
"whole milk,curd,ice cream,Instant food products,canned fish,newspapers",6,242,7,Huda,39,Gharbia,Cash
"yogurt,frozen vegetables,sweet spreads,bottled water,skin care,newspapers",6,773,14,Magdy,36,Sohag,Credit
"whipped/sour cream,flower (seeds)",2,2481,8,Rania,37,Dakahlia,Cash
"frozen vegetables,brown bread",2,2343,6,Walaa,29,Cairo,Credit
"citrus fruit,whole milk,domestic eggs,canned fruit,dog food,misc. beverages,detergent",7,2069,3,Ahmed,30,Giza,Cash
"onions,yogurt,oil",3,1730,10,Samy,55,Alexandria,Credit
"sausage,butter milk,rolls/buns,soda",4,716,2,Mohamed,25,Alexandria,Cash
"other vegetables,butter,pastry,napkins,dishes",5,399,5,Shimaa,55,Port Said,Cash
"frankfurter,brown bread,sugar",3,1844,12,Eman,23,Aswan,Credit
"domestic eggs,rolls/buns,white wine",3,2005,15,Sameh,35,Hurghada,Cash
"rolls/buns,canned fish,soda",3,246,4,Adel,50,Alexandria,Credit
bottled beer,1,494,2,Mohamed,25,Alexandria,Cash
waffles,1,1214,8,Rania,37,Dakahlia,Credit
"condensed milk,coffee,napkins",3,1120,5,Shimaa,55,Port Said,Credit
canned beer,1,2383,6,Walaa,29,Cairo,Credit
"meat,onions,other vegetables,chewing gum,dishes",5,1318,9,Maged,60,Hurghada,Cash
"whole milk,frozen vegetables,fruit/vegetable juice,long life bakery product",4,178,8,Rania,37,Dakahlia,Cash
"liver loaf,beef,pip fruit,packaged fruit/vegetables,whole milk,pastry,margarine",7,890,2,Mohamed,25,Alexandria,Credit
"frankfurter,root vegetables,rolls/buns,vinegar,sugar,mustard,cat food,napkins",8,1590,7,Huda,39,Gharbia,Cash
"chicken,whole milk,rolls/buns,flour,salt,vinegar,sugar",7,1526,6,Walaa,29,Cairo,Cash
"frankfurter,ham,citrus fruit,other vegetables",4,734,4,Adel,50,Alexandria,Credit
"pip fruit,yogurt,sliced cheese",3,355,10,Samy,55,Alexandria,Cash
"root vegetables,other vegetables,whole milk,rolls/buns,bottled water,dishes,newspapers",7,1787,5,Shimaa,55,Port Said,Credit
"pip fruit,other vegetables",2,1945,8,Rania,37,Dakahlia,Cash
"pork,hamburger meat,other vegetables,whole milk,whipped/sour cream,frozen meals,baking powder,coffee",8,962,6,Walaa,29,Cairo,Cash
"other vegetables,whipped/sour cream,condensed milk,salt",4,1082,12,Eman,23,Aswan,Credit
"pastry,long life bakery product,shopping bags",3,1104,13,Sayed,37,Cairo,Credit
"sausage,pip fruit,whipped/sour cream,detergent,dental care",5,1021,11,Hanan,22,Fayoum,Cash
"processed cheese,red/blush wine,newspapers",3,1899,12,Eman,23,Aswan,Credit
napkins,1,414,10,Samy,55,Alexandria,Cash
"meat,whole milk,whipped/sour cream,oil,pickled vegetables,long life bakery product,napkins",7,1206,12,Eman,23,Aswan,Cash
pastry,1,1309,1,Farida,22,Cairo,Credit
"sausage,root vegetables,other vegetables,whole milk,dessert,canned fruit,soda,snack products,waffles,shopping bags",10,635,5,Shimaa,55,Port Said,Credit
"pip fruit,root vegetables,whole milk,ice cream,bottled beer,detergent",6,1131,9,Maged,60,Hurghada,Cash
frozen vegetables,1,1640,14,Magdy,36,Sohag,Cash
"citrus fruit,tropical fruit,coffee",3,1080,12,Eman,23,Aswan,Credit
"other vegetables,yogurt,whipped/sour cream,soda,bottled beer,salty snack",6,1309,13,Sayed,37,Cairo,Credit
"frankfurter,frozen dessert,white wine,chewing gum,shopping bags",5,2361,8,Rania,37,Dakahlia,Cash
sausage,1,1217,6,Walaa,29,Cairo,Credit
"beef,other vegetables,yogurt,beverages,rolls/buns,flour,margarine,cat food,bottled water,fruit/vegetable juice",10,1771,6,Walaa,29,Cairo,Cash
"hamburger meat,other vegetables,whipped/sour cream,pastry,napkins",5,750,11,Hanan,22,Fayoum,Cash
"yogurt,margarine,sugar,bottled water,bottled beer,red/blush wine,long life bakery product",7,1376,6,Walaa,29,Cairo,Credit
beverages,1,2392,5,Shimaa,55,Port Said,Cash
whole milk,1,1443,8,Rania,37,Dakahlia,Credit
rolls/buns,1,2094,14,Magdy,36,Sohag,Credit
"tropical fruit,bottled water,chewing gum",3,675,6,Walaa,29,Cairo,Cash
"citrus fruit,herbs,butter,domestic eggs,oil,bottled water,bottled beer",7,615,15,Sameh,35,Hurghada,Credit
"whole milk,yogurt,whipped/sour cream,soft cheese,candy",5,2250,11,Hanan,22,Fayoum,Credit
"citrus fruit,tropical fruit,root vegetables,yogurt,roll products ,margarine,sugar,bottled water,napkins,house keeping products",10,1962,3,Ahmed,30,Giza,Credit
soda,1,848,13,Sayed,37,Cairo,Credit
"frankfurter,yogurt,beverages,brown bread,specialty chocolate,candy",6,488,9,Maged,60,Hurghada,Cash
"sausage,cream,cream cheese ,canned beer",4,1335,13,Sayed,37,Cairo,Cash
napkins,1,887,11,Hanan,22,Fayoum,Cash
yogurt,1,1513,10,Samy,55,Alexandria,Cash
"herbs,oil,dog food",3,1078,6,Walaa,29,Cairo,Cash
"sausage,fish,UHT-milk",3,1123,12,Eman,23,Aswan,Cash
"yogurt,chocolate",2,1709,4,Adel,50,Alexandria,Cash
"pork,other vegetables,specialty fat",3,2432,5,Shimaa,55,Port Said,Cash
"curd,mustard,canned beer",3,1316,6,Walaa,29,Cairo,Credit
"frankfurter,sausage,berries,whole milk,yogurt,brown bread,pastry,margarine,fruit/vegetable juice,waffles,decalcifier,napkins",12,1118,15,Sameh,35,Hurghada,Cash
"frankfurter,frozen meals,semi-finished bread,shopping bags",4,1953,10,Samy,55,Alexandria,Cash
"curd,processed cheese,rolls/buns,pastry,pickled vegetables,fruit/vegetable juice",6,725,4,Adel,50,Alexandria,Cash
"liver loaf,organic sausage,pastry,fruit/vegetable juice,candles",5,1790,12,Eman,23,Aswan,Credit
"pork,canned fish,cat food",3,1409,12,Eman,23,Aswan,Cash
specialty bar,1,1183,2,Mohamed,25,Alexandria,Cash
ice cream,1,1692,9,Maged,60,Hurghada,Cash
specialty bar,1,1850,12,Eman,23,Aswan,Cash
"yogurt,shopping bags",2,1225,15,Sameh,35,Hurghada,Cash
"frozen vegetables,coffee",2,851,10,Samy,55,Alexandria,Cash
"rolls/buns,canned beer,shopping bags",3,2079,15,Sameh,35,Hurghada,Cash
"pastry,soda",2,1704,9,Maged,60,Hurghada,Cash
"pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,rolls/buns,flour,pasta,oil,waffles,seasonal products,female sanitary products",13,1344,10,Samy,55,Alexandria,Cash
"curd,bottled water,photo/film",3,1782,4,Adel,50,Alexandria,Cash
"beef,citrus fruit,root vegetables,butter,yogurt,whipped/sour cream,frozen meals,pasta,oil,fruit/vegetable juice,waffles,dishes,cookware",13,2266,7,Huda,39,Gharbia,Cash
"yogurt,bottled water,male cosmetics",3,1100,9,Maged,60,Hurghada,Credit
"chicken,other vegetables,whole milk,curd,ice cream,rolls/buns,sugar,soda,napkins,pot plants",10,1951,5,Shimaa,55,Port Said,Credit
detergent,1,2320,4,Adel,50,Alexandria,Cash
"pip fruit,sweet spreads,coffee,napkins,dishes",5,1710,6,Walaa,29,Cairo,Credit
"coffee,chocolate",2,1843,6,Walaa,29,Cairo,Credit
"tropical fruit,berries,yogurt,soda,red/blush wine",5,176,5,Shimaa,55,Port Said,Cash
"sauces,softener",2,1682,12,Eman,23,Aswan,Credit
"pork,onions,other vegetables,bottled beer",4,834,8,Rania,37,Dakahlia,Credit
"yogurt,condensed milk,rolls/buns,pickled vegetables,bottled water,brandy",6,815,7,Huda,39,Gharbia,Credit
"napkins,dishes",2,215,1,Farida,22,Cairo,Cash
"other vegetables,rolls/buns,canned fish",3,1807,11,Hanan,22,Fayoum,Credit
"chicken,citrus fruit,onions,bottled water",4,2347,14,Magdy,36,Sohag,Cash
"pork,onions,rolls/buns,margarine,canned vegetables,soda,salty snack,house keeping products",8,808,12,Eman,23,Aswan,Cash
root vegetables,1,1763,2,Mohamed,25,Alexandria,Cash
"ham,tropical fruit,pip fruit,other vegetables,whole milk,processed cheese,frozen vegetables,brown bread,soda,shopping bags",10,112,7,Huda,39,Gharbia,Cash
"whole milk,rolls/buns",2,1802,13,Sayed,37,Cairo,Cash
"soda,bottled beer,house keeping products",3,1129,14,Magdy,36,Sohag,Credit
"rolls/buns,margarine",2,1234,8,Rania,37,Dakahlia,Credit
"tropical fruit,soft cheese,rolls/buns,chocolate",4,1556,2,Mohamed,25,Alexandria,Credit
"tropical fruit,pip fruit,brown bread",3,1896,12,Eman,23,Aswan,Cash
"sausage,hamburger meat,tropical fruit,root vegetables,whole milk,UHT-milk,domestic eggs,rolls/buns,semi-finished bread,margarine,pickled vegetables,soda,fruit/vegetable juice",13,532,2,Mohamed,25,Alexandria,Cash
bottled beer,1,1340,12,Eman,23,Aswan,Credit
"turkey,tropical fruit,yogurt,UHT-milk,brown bread,pastry",6,1251,9,Maged,60,Hurghada,Credit
"meat,rolls/buns,specialty chocolate",3,2475,13,Sayed,37,Cairo,Credit
"whole milk,coffee,female sanitary products,shopping bags",4,332,2,Mohamed,25,Alexandria,Cash
"soda,canned beer",2,704,3,Ahmed,30,Giza,Cash
"rolls/buns,canned beer",2,1675,3,Ahmed,30,Giza,Cash
"dessert,UHT-milk,rolls/buns,pastry,canned beer",5,592,7,Huda,39,Gharbia,Credit
"sausage,other vegetables,sliced cheese,mustard,fruit/vegetable juice",5,950,9,Maged,60,Hurghada,Credit
"pork,onions,other vegetables,butter milk",4,106,13,Sayed,37,Cairo,Cash
"hamburger meat,other vegetables,hard cheese,frozen vegetables",4,379,12,Eman,23,Aswan,Credit
"sausage,beverages,sliced cheese,rolls/buns,specialty bar,shopping bags",6,876,6,Walaa,29,Cairo,Cash
"rolls/buns,soda,canned beer,waffles,shopping bags",5,1003,6,Walaa,29,Cairo,Credit
"misc. beverages,chocolate",2,1661,12,Eman,23,Aswan,Cash
"pastry,long life bakery product",2,2453,10,Samy,55,Alexandria,Credit
"soda,fruit/vegetable juice",2,2348,13,Sayed,37,Cairo,Cash
whole milk,1,308,4,Adel,50,Alexandria,Cash
"domestic eggs,long life bakery product,seasonal products",3,2477,7,Huda,39,Gharbia,Credit
soda,1,1852,11,Hanan,22,Fayoum,Cash
pip fruit,1,1615,4,Adel,50,Alexandria,Credit
"yogurt,UHT-milk,domestic eggs,rolls/buns",4,2102,5,Shimaa,55,Port Said,Cash
"frankfurter,pork,pip fruit",3,1139,8,Rania,37,Dakahlia,Cash
specialty chocolate,1,2296,10,Samy,55,Alexandria,Cash
"sausage,white bread,bottled beer",3,2274,4,Adel,50,Alexandria,Cash
oil,1,2359,7,Huda,39,Gharbia,Credit
"tropical fruit,pip fruit,soda,bottled beer,popcorn",5,1764,15,Sameh,35,Hurghada,Cash
"citrus fruit,other vegetables,whole milk",3,1628,2,Mohamed,25,Alexandria,Cash
napkins,1,1458,3,Ahmed,30,Giza,Credit
"whole milk,rolls/buns",2,1761,10,Samy,55,Alexandria,Cash
coffee,1,320,1,Farida,22,Cairo,Cash
"tropical fruit,newspapers",2,1742,15,Sameh,35,Hurghada,Credit
canned beer,1,360,11,Hanan,22,Fayoum,Cash
bottled beer,1,1355,4,Adel,50,Alexandria,Credit
canned beer,1,1599,8,Rania,37,Dakahlia,Credit
rum,1,323,7,Huda,39,Gharbia,Credit
"rolls/buns,margarine,newspapers",3,1893,6,Walaa,29,Cairo,Cash
pastry,1,1913,4,Adel,50,Alexandria,Credit
"whole milk,dessert",2,514,1,Farida,22,Cairo,Cash
"grapes,root vegetables,other vegetables,roll products ,pasta,oil,margarine,coffee,bottled water,detergent",10,2397,4,Adel,50,Alexandria,Cash
whole milk,1,729,9,Maged,60,Hurghada,Credit
"yogurt,rolls/buns",2,2327,10,Samy,55,Alexandria,Credit
"root vegetables,other vegetables,whole milk,yogurt,rolls/buns,chewing gum,candles",7,1802,12,Eman,23,Aswan,Cash
pastry,1,697,6,Walaa,29,Cairo,Credit
canned beer,1,2294,13,Sayed,37,Cairo,Credit
sausage,1,301,8,Rania,37,Dakahlia,Credit
"tropical fruit,other vegetables,yogurt,spread cheese,soda",5,1507,3,Ahmed,30,Giza,Credit
"frankfurter,citrus fruit,tropical fruit,whole milk,butter,whipped/sour cream",6,2029,2,Mohamed,25,Alexandria,Credit
rolls/buns,1,1270,7,Huda,39,Gharbia,Cash
"frankfurter,pip fruit,other vegetables,whole milk",4,169,14,Magdy,36,Sohag,Credit
"sausage,other vegetables,newspapers,shopping bags",4,1799,5,Shimaa,55,Port Said,Credit
"whole milk,rolls/buns",2,1612,10,Samy,55,Alexandria,Credit
"whole milk,canned beer",2,1215,2,Mohamed,25,Alexandria,Credit
"whole milk,frozen vegetables",2,985,1,Farida,22,Cairo,Cash
"ham,pip fruit,herbs,other vegetables,butter,rolls/buns,white bread,oil,canned fish,soda",10,1173,6,Walaa,29,Cairo,Credit
"whole milk,yogurt,white bread,newspapers",4,2054,2,Mohamed,25,Alexandria,Cash
"beef,citrus fruit,pip fruit,yogurt,rolls/buns,flour,margarine,soups,bottled water",9,705,7,Huda,39,Gharbia,Credit
"domestic eggs,rolls/buns,soda",3,653,1,Farida,22,Cairo,Credit
"soda,waffles",2,1410,1,Farida,22,Cairo,Cash
"whole milk,yogurt,beverages,mustard,bottled water,newspapers",6,597,4,Adel,50,Alexandria,Credit
"ham,pip fruit,whole milk,rolls/buns,honey,newspapers",6,1995,2,Mohamed,25,Alexandria,Credit
"curd,yogurt,mayonnaise,brown bread,margarine,sugar,ketchup,dish cleaner,cling film/bags",9,2117,2,Mohamed,25,Alexandria,Cash
bottled water,1,2286,3,Ahmed,30,Giza,Credit
"butter milk,coffee",2,1667,14,Magdy,36,Sohag,Cash
"pork,other vegetables",2,504,4,Adel,50,Alexandria,Cash
"pork,onions,shopping bags",3,274,6,Walaa,29,Cairo,Cash
"turkey,other vegetables,whole milk,oil,instant coffee,specialty bar",6,326,5,Shimaa,55,Port Said,Credit
"cream cheese ,soda",2,676,3,Ahmed,30,Giza,Cash
"tropical fruit,berries,root vegetables,other vegetables,yogurt,rolls/buns,shopping bags",7,1550,8,Rania,37,Dakahlia,Credit
rolls/buns,1,1003,14,Magdy,36,Sohag,Credit
"citrus fruit,other vegetables,whole milk,margarine,bottled beer,newspapers",6,1527,13,Sayed,37,Cairo,Credit
"frankfurter,sausage,root vegetables,yogurt,mayonnaise,rolls/buns,brown bread,roll products ,margarine,coffee",10,1836,6,Walaa,29,Cairo,Cash
whipped/sour cream,1,1195,10,Samy,55,Alexandria,Credit
"tropical fruit,butter,butter milk,brown bread,long life bakery product",5,2478,7,Huda,39,Gharbia,Credit
"frankfurter,pip fruit,rolls/buns,bottled water",4,2113,6,Walaa,29,Cairo,Cash
"sausage,tropical fruit,whole milk,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,rice,soda,detergent,softener,decalcifier,napkins,shopping bags",15,2022,6,Walaa,29,Cairo,Credit
"sausage,citrus fruit,tropical fruit,whole milk,bottled water,specialty bar,detergent,newspapers",8,919,2,Mohamed,25,Alexandria,Credit
"sausage,rolls/buns,soda,specialty bar",4,1320,5,Shimaa,55,Port Said,Credit
"sliced cheese,rolls/buns,margarine,soda,shopping bags",5,1911,11,Hanan,22,Fayoum,Credit
candy,1,2076,11,Hanan,22,Fayoum,Cash
"tropical fruit,berries,pickled vegetables,pet care,soda",5,2348,15,Sameh,35,Hurghada,Cash
"pip fruit,whole milk,butter milk,cream cheese ,domestic eggs,rolls/buns,brown bread",7,513,2,Mohamed,25,Alexandria,Credit
"citrus fruit,tropical fruit,grapes,dessert,cream cheese ,rolls/buns,bottled water,fruit/vegetable juice",8,1652,10,Samy,55,Alexandria,Cash
"hamburger meat,pip fruit,other vegetables,butter,cream cheese ,mayonnaise,domestic eggs,pastry,rice,margarine,canned fruit,canned fish,coffee,tea,candles",15,1790,7,Huda,39,Gharbia,Cash
"other vegetables,whole milk,curd,spread cheese,curd cheese,rolls/buns,brown bread,Instant food products,coffee",9,192,9,Maged,60,Hurghada,Credit
"nuts/prunes,rolls/buns,soda",3,137,10,Samy,55,Alexandria,Credit
"ham,beef,other vegetables,newspapers",4,1987,1,Farida,22,Cairo,Cash
"ham,rolls/buns",2,2021,8,Rania,37,Dakahlia,Credit
